material_id,format,success,attr_found,attr_total,attr_score,error_reason
real_01,pdf,True,2,3,0.6667,missing_attrs:object_name
real_02,pdf,True,3,4,0.75,missing_attrs:object_name
real_03,pdf,True,3,4,0.75,missing_attrs:object_name
real_04,pdf,True,3,4,0.75,missing_attrs:object_name
real_05,pdf,True,4,4,1.0,
real_06,pdf,True,4,4,1.0,
real_07,pdf,True,3,3,1.0,
real_08,pdf,True,4,4,1.0,
real_09,pdf,True,3,3,1.0,
real_10,pdf,True,3,3,1.0,
real_11,docx,True,4,4,1.0,
real_12,docx,True,6,6,1.0,
real_13,docx,True,5,5,1.0,
real_14,docx,True,6,6,1.0,
real_15,docx,True,2,2,1.0,
real_16,docx,True,3,3,1.0,
real_17,docx,True,1,1,1.0,
real_18,docx,True,2,2,1.0,
real_19,docx,True,2,2,1.0,
real_20,docx,True,3,3,1.0,
real_21,txt,True,1,1,1.0,
real_22,txt,True,2,2,1.0,
real_23,txt,True,1,1,1.0,
real_24,txt,True,2,2,1.0,
real_25,txt,True,3,3,1.0,
real_26,txt,True,1,2,0.5,missing_attrs:object_name
real_27,txt,True,2,2,1.0,
real_28,txt,True,3,3,1.0,
real_29,txt,True,2,2,1.0,
real_30,txt,True,2,2,1.0,
